Variable	DF	R2	F	pvalue	adjP
Sex	2	0.376956538931218	6.3527569200198	0.0019	0.0133
Year Collected	1	0.202709864403525	5.59346819654451	0.0167	0.05845
Library Layout	1	0.0351385474344461	0.801201085919941	0.4199	0.5609
Platform	1	0.0351385474344461	0.801201085919941	0.4049	0.5609
Host Family	1	0.023274582644223	0.524242339837044	0.5609	0.5609
Host Tribe	1	0.023274582644223	0.524242339837044	0.5593	0.5609
Continent	1	0.0494135970786948	1.14360896851717	0.2159	0.503766666666667
