1	2	pvalue	padj
Apidae	Megachilidae	0.0083	0.01245
Apidae	Andrenidae	0.3005	0.3606
Apidae	Halictidae	1e-04	3e-04
Megachilidae	Andrenidae	0.6196	0.6196
Megachilidae	Halictidae	4e-04	8e-04
Andrenidae	Halictidae	1e-04	3e-04
