TaxID	Sample	NoReads	TotReads	RelAbundance	AvgRelAbundance	Prevalence	Species	Sociality	Sex	Tissue	Location	NucleotideType	Project.Accession	YearCollected	Month	LibraryLayout	LibrarySelection	SequenceInstrument	Platform_Gen	Platform_Spec	Genus	Tribe	Continent	tax_name	genus	family	order	class	phylum
TRH127	SRR13442824	67	292	0.229452054794521	0.229452054794521	1	Exoneura	Polymorphic	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Exoneura	Allodapini	Oceania	Aureobasidium	Aureobasidium	Saccotheciaceae	Dothideales	Dothideomycetes	Ascomycota
TRH23	SRR13442824	48	292	0.164383561643836	0.164383561643836	1	Exoneura	Polymorphic	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Exoneura	Allodapini	Oceania	Aspergillus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota
TRH54	SRR13442824	48	292	0.164383561643836	0.164383561643836	1	Exoneura	Polymorphic	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Exoneura	Allodapini	Oceania	Penicillium	Penicillium	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota
TRH367	SRR13442824	34	292	0.116438356164384	0.116438356164384	1	Exoneura	Polymorphic	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Exoneura	Allodapini	Oceania	Candida	Candida	Debaryomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota
TRH462	SRR13442824	30	292	0.102739726027397	0.102739726027397	1	Exoneura	Polymorphic	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Exoneura	Allodapini	Oceania	Nosema	Nosema	Nosematidae			Microsporidia
TRH181	SRR13442824	26	292	0.089041095890411	0.089041095890411	1	Exoneura	Polymorphic	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Exoneura	Allodapini	Oceania	Colletotrichum	Colletotrichum	Glomerellaceae	Glomerellales	Sordariomycetes	Ascomycota
TRH1	SRR13442824	21	292	0.0719178082191781	0.0719178082191781	1	Exoneura	Polymorphic	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Exoneura	Allodapini	Oceania	Starmerella	Starmerella		Saccharomycetales	Saccharomycetes	Ascomycota
TRH13	SRR13442824	18	292	0.0616438356164384	0.0616438356164384	1	Exoneura	Polymorphic	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Exoneura	Allodapini	Oceania	Alternaria	Alternaria	Pleosporaceae	Pleosporales	Dothideomycetes	Ascomycota
