1	2	pvalue	padj
Europe	Asia	0.7198	0.8426
Europe	North America	0.2046	0.377571428571429
Europe	Africa	0.0944	0.314666666666667
Europe	Oceania	0.8426	0.8426
Asia	North America	0.2442	0.377571428571429
Asia	Africa	0.1558	0.377571428571429
Asia	Oceania	0.008	0.08
North America	Africa	0.2643	0.377571428571429
North America	Oceania	0.8393	0.8426
Africa	Oceania	0.0521	0.2605
