AM_N_068	BT_N_001	SRR10034523	SRR11440496	SRR11445089	SRR11445090	SRR11445091	SRR11448239	SRR11448240	SRR11448241	SRR12244814	SRR12527961	SRR13189063	SRR13189066	SRR13404632	SRR13404634	SRR13404636	SRR13404641	SRR13442813	SRR13442815	SRR13442827	SRR13442828	SRR13442829	SRR13442831	SRR13769013	SRR13769015	SRR13769016	SRR13769017	SRR13769019	SRR1380984	SRR15496106	SRR15496109	SRR15496114	SRR1790685	SRR1790687	SRR18500042	SRR18500043	SRR18500044	SRR18500050	SRR18500061	SRR18500077	SRR18500078	SRR18500080	SRR18500083	SRR18500085	SRR18500086	SRR18500088	SRR18500090	SRR2396633	SRR2396644	SRR2396654	SRR2396655	SRR3383870	SRR5109820	SRR5109826	SRR5109829	SRR5109831	SRR5109832	SRR5109833	SRR5117442	SRR5117444	SRR5117446	SRR5117447	SRR5117448	SRR5117449	SRR5117450	SRR5387735	SRR5387737	SRR5387738	SRR6148364	SRR6148369	SRR6148371	SRR6148372	SRR6148374	SRR6148376	SRR6148377	SRR6148378	SRR6148379	SRR8335255	SRR8754037	SRR8754040	SRR8754041	SRR8754042	SRR8754044	SRR8867392	SRR8867393	SRR8867394	SRR8867395
SRR12527961	1	0.71267027027027	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0.0124225225225225	1	1	1	1	0	0	1	0	1	1	0.00129189189189189	0.939999099099099	1	1	1	1	0.992861261261261	0.997686486486487	1	0.970940540540541	0.117686486486486	1	1	1	1	1	0.011245045045045	1	0.25574954954955	1	1	0	0.973085585585586	1	1	1	1	1	0	1	1	0	0	0	0.271427027027027	0	0	1	1	1	1
SRR13189063	1	0.71267027027027	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0.0124225225225225	1	1	1	1	0	0	1	0	1	1	0.00129189189189189	0.939999099099099	1	1	1	1	0.992861261261261	0.997686486486487	1	0.970940540540541	0.117686486486486	1	1	1	1	1	0.011245045045045	1	0.25574954954955	1	1	0	0.973085585585586	1	1	1	1	1	0	1	1	0	0	0	0.271427027027027	0	0	1	1	1	1
SRR13189066	1	0.71267027027027	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0.0124225225225225	1	1	1	1	0	0	1	0	1	1	0.00129189189189189	0.939999099099099	1	1	1	1	0.992861261261261	0.997686486486487	1	0.970940540540541	0.117686486486486	1	1	1	1	1	0.011245045045045	1	0.25574954954955	1	1	0	0.973085585585586	1	1	1	1	1	0	1	1	0	0	0	0.271427027027027	0	0	1	1	1	1
SRR13404632	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0.999016216216216	0.00174324324324324	1	0.999016216216216	0.999016216216216	0.999016216216216	0.999016216216216	0.999016216216216	1	1	1	1	1	1	1	1	1	1	1	1	0.999016216216216	0.999272972972973	0.999016216216216	0.0778774774774775	1	1	1	1	1	1	1	1	0.999472072072072	1	1	1	1	1	1	0.00307567567567568	0.999016216216216	0.999048648648649	0.999016216216216	1	0.000983783783783783	0.000983783783783783	0.0345252252252252	0.999016216216216	1	0.00474234234234234	1	0.999016216216216	0.999016216216216	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999016216216216	1	1	1	0.999016216216216	0.999016216216216	0.99864054054054
SRR13404634	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999016216216216	0	0.999045945945946	1	0	0.0298432432432432	0.0197171171171171	0	0.0113477477477477	1	1	1	1	1	1	1	1	1	1	1	1	0.0934486486486486	0.987577477477477	0	1	1	1	1	1	1	1	1	1	0.999151351351351	1	1	1	1	1	1	1	0	0.967747747747748	0.882313513513514	1	1	1	1	0.27902972972973	1	1	1	0.376422522522523	0.255457657657658	1	1	1	1	1	1	1	1	1	1	1	1	1	0.728572972972973	1	1	1	0	0.0278900900900901	0.0335693693693694
SRR13404636	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00174324324324324	0.999045945945946	0	1	0.999045945945946	0.999045945945946	0.999045945945946	0.999045945945946	0.999045945945946	1	1	1	1	1	1	1	1	1	1	1	1	0.999045945945946	0.99929009009009	0.999045945945946	0.0778774774774775	1	1	1	1	1	1	1	1	0.999467567567568	1	1	1	1	1	1	0.00306756756756757	0.999045945945946	0.999075675675676	0.999045945945946	1	0.000954054054054052	0.000954054054054052	0.034527027027027	0.999045945945946	1	0.00469189189189189	1	0.999045945945946	0.999045945945946	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999045945945946	1	1	1	0.999045945945946	0.999045945945946	0.99867027027027
SRR13404641	1	0.71267027027027	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0.0124225225225225	1	1	1	1	0	0	1	0	1	1	0.00129189189189189	0.939999099099099	1	1	1	1	0.992861261261261	0.997686486486487	1	0.970940540540541	0.117686486486486	1	1	1	1	1	0.011245045045045	1	0.25574954954955	1	1	0	0.973085585585586	1	1	1	1	1	0	1	1	0	0	0	0.271427027027027	0	0	1	1	1	1
SRR13442813	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999016216216216	0	0.999045945945946	1	0	0.0298432432432432	0.0197171171171171	0	0.0113477477477477	1	1	1	1	1	1	1	1	1	1	1	1	0.0934486486486486	0.987577477477477	0	1	1	1	1	1	1	1	1	1	0.999151351351351	1	1	1	1	1	1	1	0	0.967747747747748	0.882313513513514	1	1	1	1	0.27902972972973	1	1	1	0.376422522522523	0.255457657657658	1	1	1	1	1	1	1	1	1	1	1	1	1	0.728572972972973	1	1	1	0	0.0278900900900901	0.0335693693693694
SRR13442815	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999016216216216	0.0298432432432432	0.999045945945946	1	0.0298432432432432	0	0.0338081081081081	0.0298432432432432	0.0312432432432432	1	1	1	1	1	1	0.970156756756757	1	1	1	0.970156756756757	1	0.0640630630630631	0.987577477477477	0.0298432432432432	1	1	1	1	1	1	1	1	1	0.999151351351351	1	0.970156756756757	0.970156756756757	0.970156756756757	1	1	1	0.0298432432432432	0.967747747747748	0.882313513513514	1	1	1	1	0.249186486486486	0.990110810810811	0.996196396396396	0.970156756756757	0.346579279279279	0.225614414414414	1	1	1	1	1	1	1	1	1	1	1	1	1	0.728572972972973	1	1	1	0.0298432432432432	0.0208702702702703	0.0410144144144144
SRR13442827	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999016216216216	0.0197171171171171	0.999045945945946	1	0.0197171171171171	0.0338081081081081	0	0.0197171171171171	0.0143693693693694	0.980282882882883	1	1	1	1	1	1	1	1	1	1	1	0.0935	0.987577477477477	0.0197171171171171	1	1	0.983904504504505	1	1	1	1	0.980282882882883	1	0.999151351351351	1	1	1	1	1	1	1	0.0197171171171171	0.967747747747748	0.882313513513514	1	1	1	1	0.27902972972973	1	1	1	0.376422522522523	0.255457657657658	1	0.980282882882883	1	0.980282882882883	0.980282882882883	1	1	1	1	1	1	1	1	0.728572972972973	1	1	1	0.0197171171171171	0.0324108108108108	0.0368162162162162
SRR13442828	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999016216216216	0	0.999045945945946	1	0	0.0298432432432432	0.0197171171171171	0	0.0113477477477477	1	1	1	1	1	1	1	1	1	1	1	1	0.0934486486486486	0.987577477477477	0	1	1	1	1	1	1	1	1	1	0.999151351351351	1	1	1	1	1	1	1	0	0.967747747747748	0.882313513513514	1	1	1	1	0.27902972972973	1	1	1	0.376422522522523	0.255457657657658	1	1	1	1	1	1	1	1	1	1	1	1	1	0.728572972972973	1	1	1	0	0.0278900900900901	0.0335693693693694
SRR13442829	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999016216216216	0.0113477477477477	0.999045945945946	1	0.0113477477477477	0.0312432432432432	0.0143693693693694	0.0113477477477477	0	0.988652252252252	1	1	1	1	1	1	1	1	1	1	1	0.0934558558558558	0.987577477477477	0.0113477477477477	1	1	0.989861261261261	1	1	1	1	0.988652252252252	1	0.999151351351351	1	1	1	1	1	1	1	0.0113477477477477	0.967747747747748	0.882313513513514	1	1	1	1	0.27902972972973	1	1	1	0.376422522522523	0.255457657657658	1	0.988652252252252	1	0.988652252252252	0.988652252252252	1	1	1	1	1	1	1	1	0.728572972972973	1	1	1	0.0113477477477477	0.029554954954955	0.0346648648648649
SRR13442831	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.980282882882883	1	0.988652252252252	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.968635135135135	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.480027927927928	1	0.344414414414414	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SRR13769013	1	0.28732972972973	1	1	0.0194216216216216	0.0194216216216216	0.0194216216216216	0.0194216216216216	0.0194216216216216	0.0194216216216216	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0.988605405405405	0.0194216216216216	0.0244504504504504	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0601702702702703	1	1	1	1	0.980578378378378	1	1	1	1	0.980578378378378	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0194216216216216	1	1	1	1	1	1	1	1	1	1	1
SRR13769015	0.0170900900900901	1	1	1	1	1	1	1	1	1	0.0170900900900901	1	1	1	1	1	1	1	1	1	1	1	1	1	0.988605405405405	0	1	0.978110810810811	0.0170900900900901	1	1	1	1	1	1	1	1	1	0.922122522522523	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.98290990990991	1	1	1	1	0.98290990990991	1	1	1	1	1	1	1	1	1	1	1	0.0170900900900901	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SRR13769016	1	0.28732972972973	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0194216216216216	1	0	0.0231135135135135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0600009009009009	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
