Variable	DF	R2	F	pvalue	adjP
Sex	2	0.10177697261065	0.509891600173149	0.8978	0.8978
Year Collected	1	0.151258947075338	1.78215660187659	0.1245	0.42575
Host Family	3	0.251885151387234	0.897848422976967	0.5634	0.8978
Host Tribe	5	0.379141162453286	0.732806505165857	0.8641	0.8978
Continent	2	0.246255089594264	1.47018956662364	0.1703	0.42575
