Variable	DF	R2	F	pvalue	adjP
Sex	1	0.0348952179994975	0.940079963241195	0.471	0.6594
Year Collected	1	0.102812628986447	2.97945383540988	0.0073	0.0511
Library Layout	1	0.0228471318539282	0.607914531662956	0.7809	0.91105
Platform	1	0.0404957722656869	1.09732719093282	0.324	0.567
Host Family	1	0.05940803204477	1.64216672668583	0.1004	0.234266666666667
Host Tribe	4	0.231520256178198	1.73230522174093	0.0164	0.0574
Continent	2	0.0447752363019018	0.585925402108466	0.9278	0.9278
