AM_N_068	CA_N_007	CA_N_030	SRR10034516	SRR10034517	SRR10034518	SRR10034523	SRR11426432	SRR11426433	SRR11440496	SRR11445089	SRR11445090	SRR11445091	SRR11448239	SRR11448240	SRR11448241	SRR12053426	SRR12053430	SRR12233820	SRR12235348	SRR12244814	SRR12245258	SRR12245523	SRR12527928	SRR12527929	SRR12527932	SRR12527933	SRR12527934	SRR12527935	SRR12527961	SRR12527962	SRR12527963	SRR12527964	SRR12527965	SRR12527966	SRR13404631	SRR13404632	SRR13404634	SRR13404636	SRR13404640	SRR13404641	SRR13442813	SRR13442815	SRR13442818	SRR13442824	SRR13442825	SRR13442827	SRR13442828	SRR13442829	SRR13442830	SRR13442831	SRR13769013	SRR13769014	SRR13769015	SRR13769016	SRR13769017	SRR13769018	SRR13769019	SRR14567209	SRR14567210	SRR14567211	SRR14567212	SRR14567213	SRR14567214	SRR14567217	SRR14567218	SRR14567219	SRR14567220	SRR14567221	SRR14567222	SRR1503066	SRR1503113	SRR1503129	SRR1503133	SRR17475010	SRR18500042	SRR18500043	SRR18500044	SRR18500045	SRR18500050	SRR18500061	SRR18500072	SRR18500076	SRR18500077	SRR18500078	SRR18500079	SRR18500080	SRR18500081	SRR18500082	SRR18500084	SRR18500085	SRR18500086	SRR18500087	SRR18500088	SRR18500090	SRR18500091	SRR2001612	SRR2001766	SRR2396653	SRR2895251	SRR2915407	SRR2954866	SRR3948521	SRR3948531	SRR3948533	SRR3948536	SRR3948544	SRR3948548	SRR3948566	SRR3948570	SRR3948572	SRR3948575	SRR3948577	SRR5109826	SRR5109829	SRR5109832	SRR5117446	SRR5117450	SRR5253659	SRR5387735	SRR5387737	SRR5387738	SRR6148364	SRR6148366	SRR6148371	SRR6148372	SRR6148374	SRR6148376	SRR6148378	SRR6148379	SRR8335253	SRR8335256	SRR8335258	SRR8754036	SRR8754038	SRR8754044	SRR8867392	SRR8867393	SRR8867394	SRR8867395
Yamadazyma	0	0	0	0	0	0	0	0.0208023774145617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000207545771254911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.405594405594406	0.757418397626113	0.763888888888889	0.634615384615385	0.855172413793103	0.181818181818182	0.587301587301587	0.859872611464968	0.563451776649746	1	0.778801843317972	0	0	0	0	0	0.00326719733871926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cladosporium	0	0	0	0	0	0	0	0.0401188707280832	0.415094339622642	0	0.0264698396538559	0.0210843373493976	0.294178794178794	0.0518343195266272	0.0298409932476585	0.06292984869326	0	0	0.227208976157083	0.346850733390854	0.00856531049250535	0	0.0416666666666667	0.688811188811189	0	0	0	0	0	0	0	0	0	0	0.00328886130933913	0.756701030927835	0.000694412765029981	0	0	0.167355371900826	0	0	0	0	0	0.838951310861423	0	0.0670892762810354	0	0.075046904315197	0	0.0207277752187932	0.00306077831219939	0.00779112644225051	0.00227347430700121	0.0109206645837592	0.00209028241049589	0.00103355955419961	0	0	0.00753012048192771	0.0945945945945946	0	0	0	0.0480392156862745	0.0789707187222715	0	0.59031903190319	0	0.0532178217821782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0537819253438114	0	0.798029556650246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00932636331234407	0	0	0	0.10546875	0	0	0	0	0	0	0	0	0.203370786516854	0	0	0	0	0	0	0	0
Clavispora	0	0	0	0	0	0	0	0	0.207547169811321	0	0	0	0	0.0177514792899408	0.0150294053583097	0	0.388888888888889	0	0	0	0	0.0924214417744917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.080147397512667	0	0	0.0162430152295387	0	0.0078867393076866	0.00855488450283295	0.0903522205206738	0	0.0225903614457831	0	0.257003112494442	0.0813648293963255	0.0198968312453943	0.0823529411764706	0	0	0.012981298129813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30952380952381	0	0.00493421052631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0104394679238929	0	0	0	0	0.228448275862069	0	0	0	0	0	0	0	0	0	0
Cercospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0121341898643826	0	0	0	0	0	0	0	0	0	0	0	0.00180646715240561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0443740095087163	0	0.0231394621638524	0	0.00967296176877015	0.00189476752659962	0	0	0	0	0.00108336965319719	0	0	0	0	0	0	0	0	0.0133096716947649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0265225933202358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0390625	0	0	0	0	0	0	0	0	0.407865168539326	0	0	0	0	0	0	0	0
Colletotrichum	0	0	0	0	0	0	0	0	0	0.192118226600985	0	0	0	0	0	0	0	0	0	0	0	0	0.0339912280701754	0	0	0	0	0	0	0	0	0.000936402653140851	0	0	0	0	0	0	0	0	0	0	0	0	0.089041095890411	0	0	0	0	0.0225140712945591	0	0.0398433901427913	0.00371665937909926	0.00576900202212442	0	0	0	0	0	0	0	0	0	0	0	0	0.0168589174800355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0394088669950739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05859375	0	0.00134702811921199	0	0	0.171487603305785	0	0	0	0	0	0	0	0	0	0	0	0
Zymoseptoria	0	0	0	0	0	0	0	0	0	0	0.11173326546195	0	0	0.131597633136095	0.0640383358745371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00158720591485343	0	0	0	0	0	0	0	0	0	0	0	0	0.0140488254260709	0.00327940533449934	0	0.00216390928015777	0.00251116886150612	0.000859832480913201	0	0	0	0	0	0	0	0	0	0.0150842945874002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.556483300589391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zygosaccharomyces	0	0	0	0	0	0	0	0	0	0	0.013234919826928	0.0855421686746988	0.0374220374220374	0.00899408284023669	0.0152472228272707	0.0178817056396149	0	0	0	0.0819672131147541	0.453961456102784	0.155268022181146	0	0.0291375291375291	0.549921647638236	0	0	0.893253629376601	0.0490196078431373	0.415841584158416	0	0.643152555598907	0.0157162642259288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.345002303086135	0.0163241509983967	0.0154633043891995	0.844390270625616	0.925570122930476	0.391846416129271	0.354722620011207	0.169984686064319	0.498344370860927	0.91777108433735	0	0	0.162729658792651	0	0.0666666666666667	0	0	0.101210121012101	0.00154000429768641	0	0	0	0	0	0	0	0.0793280447970135	0	0.262472885032538	0	0	0.0514607893388006	0.561013645224172	0.0990541250656858	0	0	0.0755801798034706	0.282318415260455	0.246575342465753	0.00850814827818251	0.0315140870416493	0.559528065784769	0	0	0	0	0	0.942434210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000954144917775159	0	0	0.0743801652892562	0	0	0	0	0	0	1	1	0	0	0	0
Malassezia	0	0	0	0	0	0	0	0	0	0	0.399592771697633	0.361144578313253	0.343035343035343	0.556213017751479	0.60553256371161	0.811554332874828	0	0	0	0	0	0	0	0	0	0	0	0.0503842869342442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144117647058824	0.102040816326531	0	0	0	0	0.805128205128205	0	0	0	0	0.188486330295621	0	0	0	0	0.730925737538148	0.254331112250128	0	0	0	0	0	0	0	0.00918692764563036	0.0105886756597227	0	0.0538847402228931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.175324675324675	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yarrowia	0	0	0	0	0	0	0	0	0	0	0.0109442606261135	0.00843373493975904	0.0142065142065142	0.0364497041420118	0.0705728599433675	0.0371389270976616	0.611111111111111	0.609022556390977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00276927561579945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diplodia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172932330827068	0	0	0	0	0	0	0.000783523617640475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Botrytis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.607293127629734	0.0388265746333046	0	0	0	0.0233100233100233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0432980193459235	0.0539279988339892	0.0559057927917212	0.0113947627917169	0.0107162671182877	0.00164554147209251	0.00161882821742108	0	0	0	0	0	0	0	0	0.0319432120674357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00272197018794556	0	0.116883116883117	0	0	0	0.0646551724137931	0	0	0	0	0	0	0	0	0	0
Saccharomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.448735169017238	1	0	0	0	0	1	0.314085056574327	0	0.712696747114376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00808919982509838	0.00755322945164744	0	0	0.00120080053368913	0.00134487267293444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0246710526315789	0	0	0	0	0	0	0	0	0	0	0	0.263959390862944	0	0	0	0	0	0	0	0.00463347986218368	0	0	0	0	0	0	0.155844155844156	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Candida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000559659726886053	0	0	0.0264730999146029	0	0	0	0.00234100663285213	0	0	0	0	0	0	0	0	0	0	0	0	0.116438356164384	0	0	0	0	0	0	0	0.00145751348199971	0.00321160937314143	0	0	0	0.00549156341448229	0	0	0	0	0.0124499777678968	0	0	0	0	0	0	0.000716281068691355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00740695768320078	0	0	0	0	0	0	0	0	0.0615727002967359	0.236111111111111	0.365384615384615	0.144827586206897	0	0	0	0	0	0.221198156682028	0	0	0	0	0	0.00231673993109184	0	0	0	0	0	0.00117864960431049	0.103896103896104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nosema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.243298969072165	0.99930558723497	1	0.998412794085147	0.760330578512397	1	0	0.999622924228787	0	0.102739726027397	0.161048689138577	1	0	0	0	0	0	0.142471942865472	0.133936005709528	0	0	0.49339559706471	0.430060394745035	0.335375191424196	0	0.0271084337349398	0.306306306306306	0.0680302356602935	0	0	0	0.430346051464064	0.80952380952381	0.06996699669967	0.995714251605663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134849596478357	0	0	0.935085875527274	0	0	0.947884160038856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0.994556059624109	0	0	0	0.0578512396694215	0.970910824988078	0	0	0	0	0	0	0	1	1	1	0.998603063341572
