Variable	R_Statistic	pvalue	adjP	Significance	Dispersion
Sociality	0.0351397371400263	0.1624	0.1827		NonSig Dispersed
Sociality 	0.00870599125801941	0.3355	0.3355		Sig Dispersed
Sex	0.0709296850235668	0.0157	0.02355	*	Sig Dispersed
Year Collected	0.104642711698413	5e-04	0.00225	*	Sig Dispersed
Library Layout	0.517616661676021	0.0044	0.0132	*	Sig Dispersed
Platform	0.163765819808491	1e-04	9e-04	*	Sig Dispersed
Host Family	0.105789422031299	0.0105	0.0189	*	NonSig Dispersed
Host Tribe	0.0504725487670128	0.0402	0.0516857142857143		Sig Dispersed
Continent	0.0385715922869453	0.0072	0.0162	*	NonSig Dispersed
