Variable	DF	R2	F	pvalue	adjP	Significance	Dispersion
Sociality	2	0.0336955663485993	4.06241898816328	1e-04	0.0001125	*	NonSig Dispersed
Sociality 	3	0.0445096472096827	3.60242191264784	1e-04	0.0001125	*	Sig Dispersed
Sex	3	0.0381130941331503	3.06419870671534	1e-04	0.0001125	*	Sig Dispersed
Year Collected	1	0.0223045822153822	5.33834172019125	1e-04	0.0001125	*	Sig Dispersed
Library Layout	1	0.0120696534378609	2.85880367405215	0.0027	0.0027	*	Sig Dispersed
Platform	6	0.0982439884487755	4.15815975840075	1e-04	0.0001125	*	Sig Dispersed
Host Family	4	0.0671175305231098	4.15490430416499	1e-04	0.0001125	*	Sig Dispersed
Host Tribe	14	0.153368151965764	2.85959692289023	1e-04	0.0001125	*	Sig Dispersed
Continent	5	0.0489759813366434	2.3689150823467	1e-04	0.0001125	*	NonSig Dispersed
