TaxID	Microbe_Genus	Host_Genera
TRH776	NA	Apis, Bombus
TRH777	NA	Bombus
TRH778	NA	Bombus, Apis, Osmia, Andrena
TRH780	NA	Tetragonisca, Apis, Osmia, Bombus
TRH787	NA	Apis
TRH788	NA	Apis, Lasioglossum
TRH792	NA	Apis, Bombus
TRH793	NA	Apis, Osmia, Bombus
TRH795	NA	Bombus, Apis
TRH803	NA	Apis, Osmia
TRH804	NA	Apis
TRH806	NA	Osmia, Bombus
