Variable	DF	R2	F	pvalue	adjP	Significance	Dispersion
Sociality	2	0.0278964647433533	2.88404949166945	6e-04	0.000771428571428571	*	NonSig Dispersed
Sociality 	3	0.0435780958729406	3.03757826853725	1e-04	0.00015	*	Sig Dispersed
Sex	2	0.0485578697375427	5.12912530715543	1e-04	0.00015	*	Sig Dispersed
Year Collected	1	0.0179233897199949	3.68660111190991	0.0011	0.0012375	*	Sig Dispersed
Library Layout	1	0.0105791596582486	2.15983953827785	0.0173	0.0173	*	Sig Dispersed
Platform	5	0.125630696791272	5.68978756994031	1e-04	0.00015	*	Sig Dispersed
Host Family	3	0.0608277499792085	4.31782703530418	1e-04	0.00015	*	NonSig Dispersed
Host Tribe	7	0.118959718676925	3.78061275240659	1e-04	0.00015	*	Sig Dispersed
Continent	5	0.0562643075873424	2.36090104292094	1e-04	0.00015	*	NonSig Dispersed
