1	2	pvalue	padj
Apidae	Megachilidae	0.705	0.705
Apidae	Andrenidae	0.566	0.6792
Apidae	Halictidae	0.001	0.003
Megachilidae	Andrenidae	0.465	0.6792
Megachilidae	Halictidae	0.002	0.004
Andrenidae	Halictidae	0.001	0.003
