Taxa	Class	taxID
Beauveria	eukaryota	TRH377
Phytobacter	bacteria	TRH378
Pectobacterium	bacteria	TRH379
Sordaria	eukaryota	TRH380
Parasitella	eukaryota	TRH381
Undibacterium	bacteria	TRH382
Natronomonas	archaea	TRH383
Sparassis	eukaryota	TRH384
Mytilinidion	eukaryota	TRH385
Rahnella	bacteria	TRH386
Curvibacter	bacteria	TRH387
Anabaena	bacteria	TRH388
Zasmidium	eukaryota	TRH389
Lichtheimia	eukaryota	TRH390
Methylophilus	bacteria	TRH391
Secundilactobacillus	bacteria	TRH392
Pneumocystis	eukaryota	TRH393
Baudoinia	eukaryota	TRH394
Methylothermaceae	bacteria	TRH395
Leifsonia	bacteria	TRH396
Cyberlindnera	eukaryota	TRH397
Sphingomonas	bacteria	TRH398
Croceicoccus	bacteria	TRH399
Brucella	bacteria	TRH400
Aquabacterium	bacteria	TRH401
Porphyrobacter	bacteria	TRH402
Legionella	bacteria	TRH403
Dechloromonas	bacteria	TRH404
Pestalotiopsis	eukaryota	TRH405
Methylorubrum	bacteria	TRH406
Sphingopyxis	bacteria	TRH407
Rhizorhabdus	bacteria	TRH408
Mameliella	bacteria	TRH409
Maricaulis	bacteria	TRH410
Candidatus Phaeomarinobacter	bacteria	TRH411
Marinobacter	bacteria	TRH412
Planctomyces	bacteria	TRH413
Trichosporon	eukaryota	TRH414
Blastomonas	bacteria	TRH415
Thermothelomyces	eukaryota	TRH416
Alteromonas	bacteria	TRH417
Aplosporella	eukaryota	TRH418
Nocardioidaceae	bacteria	TRH419
Nordella	bacteria	TRH420
Arenibacter	bacteria	TRH421
Holtermannia	eukaryota	TRH422
Alkalibacterium	bacteria	TRH423
Glycocaulis	bacteria	TRH424
Aurantiacibacter	bacteria	TRH425
Inhella	bacteria	TRH426
Roseovarius	bacteria	TRH427
Podospora	eukaryota	TRH428
Sulfitobacter	bacteria	TRH429
Aeribacillus	bacteria	TRH430
Salipiger	bacteria	TRH431
Herminiimonas	bacteria	TRH432
Mitsuaria	bacteria	TRH433
Kinneretia	bacteria	TRH434
Myroides	bacteria	TRH435
Sanguibacter	bacteria	TRH436
Erythrobacter	bacteria	TRH437
Granulibacter	bacteria	TRH438
Thiomonas	bacteria	TRH439
Sphingosinicella	bacteria	TRH440
Flammulina	eukaryota	TRH441
Trametes	eukaryota	TRH442
Caldicellulosiruptor	bacteria	TRH443
Anthracocystis	eukaryota	TRH444
Moniliella	eukaryota	TRH445
Vanderwaltozyma	eukaryota	TRH446
Lachancea	eukaryota	TRH447
Jaminaea	eukaryota	TRH448
Melanopsichium	eukaryota	TRH449
Mixta	bacteria	TRH450
Carnobacterium	bacteria	TRH451
Tsuneonella	bacteria	TRH452
Armillaria	eukaryota	TRH453
Cryptococcus	eukaryota	TRH454
Commensalibacter	bacteria	TRH455
Bartonella	bacteria	TRH456
Orbus	bacteria	TRH457
Fructobacillus	bacteria	TRH458
Sodalis	bacteria	TRH459
Chondrocystis	bacteria	TRH460
Candidatus Carsonella	bacteria	TRH461
Nosema	eukaryota	TRH462
Microsporidium	eukaryota	TRH463
Umezawaea	bacteria	TRH464
Actinosynnema	bacteria	TRH465
Spiroplasma	bacteria	TRH466
Izhakiella	bacteria	TRH467
Buchnera	bacteria	TRH468
Kosakonia	bacteria	TRH469
Candidatus Lariskella	bacteria	TRH470
Tsukamurella	bacteria	TRH471
Trypanosoma	eukaryota	TRH472
Carnimonas	bacteria	TRH473
Pigmentiphaga	bacteria	TRH474
Wallaceina	eukaryota	TRH475
Morganella	bacteria	TRH476
Paenarthrobacter	bacteria	TRH477
Ramularia	eukaryota	TRH478
Latilactobacillus	bacteria	TRH479
Paludibacter	bacteria	TRH480
Polaromonas	bacteria	TRH481
Kaistella	bacteria	TRH482
Sandaracinus	bacteria	TRH483
Ascogregarina	eukaryota	TRH484
Bernardetia	bacteria	TRH485
Stemphylium	eukaryota	TRH486
Salinibacterium	bacteria	TRH487
Rosenbergiella	bacteria	TRH488
Dyadobacter	bacteria	TRH489
Bacteriovorax	bacteria	TRH490
Psychromonas	bacteria	TRH491
Aquipluma	bacteria	TRH492
Apicystis	eukaryota	TRH493
Chryseoglobus	bacteria	TRH494
Methylotenera	bacteria	TRH495
Entomophthora	eukaryota	TRH496
Pseudarthrobacter	bacteria	TRH497
Bdellovibrio	bacteria	TRH498
Arcobacter	bacteria	TRH499
Miniimonas	bacteria	TRH500
Cryobacterium	bacteria	TRH501
Pasteurellaceae	bacteria	TRH502
Thioclava	bacteria	TRH503
Weissella	bacteria	TRH504
Chrysoporthe	eukaryota	TRH505
Ceraceosorus	eukaryota	TRH506
Heterobasidion	eukaryota	TRH507
Acytostelium	eukaryota	TRH508
Kuraishia	eukaryota	TRH509
Coniophora	eukaryota	TRH510
Egicoccus	bacteria	TRH511
Lonsdalea	bacteria	TRH512
Dickeya	bacteria	TRH513
Brenneria	bacteria	TRH514
Gibbsiella	bacteria	TRH515
Yersinia	bacteria	TRH516
Erwiniaceae	bacteria	TRH517
Candidatus Curculioniphilus	bacteria	TRH518
Rhodosporidiobolus	eukaryota	TRH519
Naganishia	eukaryota	TRH520
Rhodotorula	eukaryota	TRH521
Protostelium	eukaryota	TRH522
Isospora	eukaryota	TRH523
Curvibasidium	eukaryota	TRH524
Sporisorium	eukaryota	TRH525
Zelonia	eukaryota	TRH526
Macroventuria	eukaryota	TRH527
Phialophora	eukaryota	TRH528
Paraphaeosphaeria	eukaryota	TRH529
Neurospora	eukaryota	TRH530
Cryptosporidium	eukaryota	TRH531
Arsenophonus	bacteria	TRH532
Babesia	eukaryota	TRH533
Naegleria	eukaryota	TRH534
Spizellomyces	eukaryota	TRH535
Phycomyces	eukaryota	TRH536
Neohortaea	eukaryota	TRH537
Kazachstania	eukaryota	TRH538
Suhomyces	eukaryota	TRH539
Dissoconium	eukaryota	TRH540
Purpureocillium	eukaryota	TRH541
Verticillium	eukaryota	TRH542
Trichoderma	eukaryota	TRH543
Eimeria	eukaryota	TRH544
Bombiscardovia	bacteria	TRH545
Tetrapisispora	eukaryota	TRH546
Torulaspora	eukaryota	TRH547
Spathaspora	eukaryota	TRH548
Zygotorulaspora	eukaryota	TRH549
Pseudocercospora	eukaryota	TRH550
Cordyceps	eukaryota	TRH551
Fonsecaea	eukaryota	TRH552
Proteus	bacteria	TRH553
Clostridioides	bacteria	TRH554
Scheffersomyces	eukaryota	TRH555
Sclerotinia	eukaryota	TRH556
Kockovaella	eukaryota	TRH557
Encephalitozoon	eukaryota	TRH558
Lodderomyces	eukaryota	TRH559
Trematosphaeria	eukaryota	TRH560
Rhamphoria	eukaryota	TRH561
Neospora	eukaryota	TRH562
Cyclospora	eukaryota	TRH563
Aphanomyces	eukaryota	TRH564
Batrachochytrium	eukaryota	TRH565
Tetrahymena	eukaryota	TRH566
Brettanomyces	eukaryota	TRH567
Ogataea	eukaryota	TRH568
Entomomonas	bacteria	TRH569
Euglena	eukaryota	TRH570
Melampsora	eukaryota	TRH571
Phaffia	eukaryota	TRH572
Tuber	eukaryota	TRH573
Cunninghamella	eukaryota	TRH574
Rasamsonia	eukaryota	TRH575
Anteholosticha	eukaryota	TRH576
Globobulimina	eukaryota	TRH577
Thermothielavioides	eukaryota	TRH578
Postia	eukaryota	TRH579
Alistipes	bacteria	TRH580
Glaesserella	bacteria	TRH581
Bonordeniella	eukaryota	TRH582
Kluyvera	bacteria	TRH583
Meira	eukaryota	TRH584
Moesziomyces	eukaryota	TRH585
Pleurotus	eukaryota	TRH586
Pichia	eukaryota	TRH587
Ordospora	eukaryota	TRH588
Venturia	eukaryota	TRH589
Coprinopsis	eukaryota	TRH590
Diutina	eukaryota	TRH591
Cavenderia	eukaryota	TRH592
Chaetomium	eukaryota	TRH593
Geosmithia	eukaryota	TRH594
Westerdykella	eukaryota	TRH595
Haemocystidium	eukaryota	TRH596
Hepatospora	eukaryota	TRH597
Polaribacter	bacteria	TRH598
Capronia	eukaryota	TRH599
Pragia	bacteria	TRH600
Polynucleobacter	bacteria	TRH601
Stereum	eukaryota	TRH602
Phytophthora	eukaryota	TRH603
Babjeviella	eukaryota	TRH604
Marssonina	eukaryota	TRH605
Xylona	eukaryota	TRH606
Dothidotthia	eukaryota	TRH607
Sodiomyces	eukaryota	TRH608
Penicilliopsis	eukaryota	TRH609
Dichomitus	eukaryota	TRH610
Cetraria	eukaryota	TRH611
Parabacteroides	bacteria	TRH612
Eikenella	bacteria	TRH613
Angomonas	eukaryota	TRH614
Arthrobotrys	eukaryota	TRH615
Saccharibacter	bacteria	TRH616
Cladophialophora	eukaryota	TRH617
Thyridium	eukaryota	TRH618
Parashewanella	bacteria	TRH619
Thalassotalea	bacteria	TRH620
Schizosaccharomyces	eukaryota	TRH621
Candidatus Nardonella	bacteria	TRH622
Anncaliia	eukaryota	TRH623
Afipia	bacteria	TRH624
Sugiyamaella	eukaryota	TRH625
Botryobasidium	eukaryota	TRH626
Herpetomonas	eukaryota	TRH627
Entamoeba	eukaryota	TRH628
Labilithrix	bacteria	TRH629
Atlantibacter	bacteria	TRH630
Dermabacter	bacteria	TRH631
Strigomonas	eukaryota	TRH632
Rhizophagus	eukaryota	TRH633
Brachyspira	bacteria	TRH634
Laribacter	bacteria	TRH635
Eremothecium	eukaryota	TRH636
Carnobacteriaceae	bacteria	TRH637
Allofrancisella	bacteria	TRH638
Collimonas	bacteria	TRH639
Thalassococcus	bacteria	TRH640
Alcaligenes	bacteria	TRH641
Leptothrix	bacteria	TRH642
Phenylobacterium	bacteria	TRH643
Blautia	bacteria	TRH644
Gloeocapsa	bacteria	TRH645
Gloeocapsopsis	bacteria	TRH646
Gluconacetobacter	bacteria	TRH647
Catenomyces	eukaryota	TRH648
Rhodoferax	bacteria	TRH649
Chelatococcus	bacteria	TRH650
Cobetia	bacteria	TRH651
Hydrogenophilus	bacteria	TRH652
Marinilactibacillus	bacteria	TRH653
Acidothermus	bacteria	TRH654
Aspergillaceae	eukaryota	TRH655
Dysgonomonas	bacteria	TRH656
Alcanivorax	bacteria	TRH657
Creolimax	eukaryota	TRH658
Thecamonas	eukaryota	TRH659
Candidatus Planktophila	bacteria	TRH660
Acidovorax	bacteria	TRH661
Alicycliphilus	bacteria	TRH662
Burkholderiaceae	bacteria	TRH663
Edwardsiella	bacteria	TRH664
Phaeosphaeriaceae	eukaryota	TRH665
Arthrinium	eukaryota	TRH666
Lentzea	bacteria	TRH667
Xylophilus	bacteria	TRH668
Rhodothermaceae	bacteria	TRH669
Thermoanaerobacterium	bacteria	TRH670
Cloacibacterium	bacteria	TRH671
Petrimonas	bacteria	TRH672
Ascosphaera	eukaryota	TRH673
Kangiella	bacteria	TRH674
Acetivibrio	bacteria	TRH675
Mattesia	eukaryota	TRH676
Sarcocystis	eukaryota	TRH677
Wallacemonas	eukaryota	TRH678
Wickerhamiella	eukaryota	TRH679
Alexandrium	eukaryota	TRH680
Zobellella	bacteria	TRH681
Neokomagataea	bacteria	TRH682
Graphium	eukaryota	TRH683
Glomeraceae	eukaryota	TRH684
Desulfobulbus	bacteria	TRH685
Kozakia	bacteria	TRH686
Calophoma	eukaryota	TRH687
Scedosporium	eukaryota	TRH688
Pedosphaera	bacteria	TRH689
Heterophoma	eukaryota	TRH690
Microascus	eukaryota	TRH691
Priceomyces	eukaryota	TRH692
Flavihumibacter	bacteria	TRH693
Pseudobacter	bacteria	TRH694
Boeremia	eukaryota	TRH695
Tremellaceae	eukaryota	TRH696
Halotalea	bacteria	TRH697
Photobacterium	bacteria	TRH698
Plesiomonas	bacteria	TRH699
Trypanosomatidae	eukaryota	TRH700
Sporolactobacillus	bacteria	TRH701
Physarum	eukaryota	TRH702
Endotrypanum	eukaryota	TRH703
Simonsiella	bacteria	TRH704
Orbaceae	bacteria	TRH705
Companilactobacillus	bacteria	TRH706
Vitreoscilla	bacteria	TRH707
Acidiphilium	bacteria	TRH708
Tyzzerella	bacteria	TRH709
Alysiella	bacteria	TRH710
Abiotrophia	bacteria	TRH711
Lentilactobacillus	bacteria	TRH712
Fructilactobacillus	bacteria	TRH713
Stenella	eukaryota	TRH714
Bacidina	eukaryota	TRH715
Candidatus Cardinium	bacteria	TRH716
Besnoitia	eukaryota	TRH717
Symmetrospora	eukaryota	TRH718
Gemmata	bacteria	TRH719
Komagataeibacter	bacteria	TRH720
Priestia	bacteria	TRH721
Paratrypanosoma	eukaryota	TRH722
Blastocystis	eukaryota	TRH723
Holomastigotoides	eukaryota	TRH724
Lachnellula	eukaryota	TRH725
Anaerobutyricum	bacteria	TRH726
Hypocoma	eukaryota	TRH727
Galactomyces	eukaryota	TRH728
Virgibacillus	bacteria	TRH729
Strobilidium	eukaryota	TRH730
Metarhizium	eukaryota	TRH731
Tenacibaculum	bacteria	TRH732
Moraxellaceae	bacteria	TRH733
Micropruina	bacteria	TRH734
Ethanoligenens	bacteria	TRH735
Huntiella	eukaryota	TRH736
Macrococcus	bacteria	TRH737
Ophiostoma	eukaryota	TRH738
Microcella	bacteria	TRH739
Alkalihalobacillus	bacteria	TRH740
Winogradskyella	bacteria	TRH741
Paramecium	eukaryota	TRH742
Phlyctema	eukaryota	TRH743
Pseudanabaena	bacteria	TRH744
Fissurina	eukaryota	TRH745
Methanomassiliicoccus	archaea	TRH746
Sporothrix	eukaryota	TRH747
Alicyclobacillus	bacteria	TRH748
Proteiniphilum	bacteria	TRH749
Tubulinosema	eukaryota	TRH750
Pluteus	eukaryota	TRH751
Nowakowskiella	eukaryota	TRH752
Clitocybe	eukaryota	TRH753
Ceratocystis	eukaryota	TRH754
Davidsoniella	eukaryota	TRH755
Ambrosiella	eukaryota	TRH756
Auricularia	eukaryota	TRH757
Pseudomicrostroma	eukaryota	TRH758
Amanita	eukaryota	TRH759
Ambrosiozyma	eukaryota	TRH760
Phialophoropsis	eukaryota	TRH761
Floccularia	eukaryota	TRH762
Lacibacter	bacteria	TRH763
Berkeleyomyces	eukaryota	TRH764
Termitomyces	eukaryota	TRH765
Nakamurella	bacteria	TRH766
Micromonospora	bacteria	TRH767
Tautonia	bacteria	TRH768
Amniculibacterium	bacteria	TRH769
Sandaracinobacter	bacteria	TRH770
Plasmopara	eukaryota	TRH771
Roseobacter	bacteria	TRH772
Roseivivax	bacteria	TRH773
Exidia	eukaryota	TRH774
Sporobolomyces	eukaryota	TRH775
Betapartitivirus	viruses	TRH776
Parvoviridae	viruses	TRH777
