tax_name	species	genus	family	order	class	phylum	kingdom	superkingdom	ID
Shigella	NA	Shigella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH97
Erwiniaceae	NA	Erwiniaceae		Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH517
Buchnera	NA	Buchnera	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH468
Erwinia	NA	Erwinia	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH107
Izhakiella	NA	Izhakiella	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH467
Mixta	NA	Mixta	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH450
Pantoea	NA	Pantoea	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH8
Rosenbergiella	NA	Rosenbergiella	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH488
Tatumella	NA	Tatumella	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH100
Edwardsiella	NA	Edwardsiella	Hafniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH664
Hafnia	NA	Hafnia	Hafniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH257
Arsenophonus	NA	Arsenophonus	Morganellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH532
Morganella	NA	Morganella	Morganellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH476
Photorhabdus	NA	Photorhabdus	Morganellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH125
Proteus	NA	Proteus	Morganellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH553
Providencia	NA	Providencia	Morganellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH118
Brenneria	NA	Brenneria	Pectobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH514
Dickeya	NA	Dickeya	Pectobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH513
Lonsdalea	NA	Lonsdalea	Pectobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH512
Pectobacterium	NA	Pectobacterium	Pectobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH379
Gibbsiella	NA	Gibbsiella	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH515
Rahnella	NA	Rahnella	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH386
Serratia	NA	Serratia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH85
Yersinia	NA	Yersinia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH516
Kangiella	NA	Kangiella	Kangiellaceae	Kangiellales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH674
Legionella	NA	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH403
Methylothermaceae	NA	Methylothermaceae		Methylococcales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH395
Moraxellaceae	NA	Moraxellaceae		Moraxellales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH733
Acinetobacter	NA	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH5
Moraxella	NA	Moraxella	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH196
Psychrobacter	NA	Psychrobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH40
Nevskia	NA	Nevskia	Sinobacteraceae	Nevskiales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH81
Steroidobacter	NA	Steroidobacter	Steroidobacteraceae	Nevskiales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH307
Alcanivorax	NA	Alcanivorax	Alcanivoracaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH657
Carnimonas	NA	Carnimonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH473
Cobetia	NA	Cobetia	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH651
Halomonas	NA	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH61
Halotalea	NA	Halotalea	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH697
Candidatus Carsonella	NA	Candidatus Carsonella	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH461
Zymobacter	NA	Zymobacter	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH142
Orbaceae	NA	Orbaceae		Orbales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH705
Frischella	NA	Frischella	Orbaceae	Orbales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH53
Gilliamella	NA	Gilliamella	Orbaceae	Orbales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH2
Orbus	NA	Orbus	Orbaceae	Orbales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH457
Pasteurellaceae	NA	Pasteurellaceae		Pasteurellales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH502
Actinobacillus	NA	Actinobacillus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH330
Aggregatibacter	NA	Aggregatibacter	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH294
Glaesserella	NA	Glaesserella	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH581
Haemophilus	NA	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH66
Mannheimia	NA	Mannheimia	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH326
Marinobacter	NA	Marinobacter	Marinobacteraceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH412
Entomomonas	NA	Entomomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH569
Pseudomonas	NA	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH224
Allofrancisella	NA	Allofrancisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH638
Francisella	NA	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH138
Photobacterium	NA	Photobacterium	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH698
Vibrio	NA	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH87
Luteimonas	NA	Luteimonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH303
Lysobacter	NA	Lysobacter	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH298
Pseudoxanthomonas	NA	Pseudoxanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH284
Stenotrophomonas	NA	Stenotrophomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH248
Thermomonas	NA	Thermomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH36
Xanthomonas	NA	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH47
Candidatus Nardonella	NA	Candidatus Nardonella			Gammaproteobacteria	Proteobacteria		Bacteria	TRH622
Hydrogenophilus	NA	Hydrogenophilus	Hydrogenophilaceae	Hydrogenophilales	Hydrogenophilalia	Proteobacteria		Bacteria	TRH652
Bacteriovorax	NA	Bacteriovorax	Bacteriovoracaceae	Bacteriovoracales	Oligoflexia	Proteobacteria		Bacteria	TRH490
Bdellovibrio	NA	Bdellovibrio	Bdellovibrionaceae	Bdellovibrionales	Oligoflexia	Proteobacteria		Bacteria	TRH498
Gemmata	NA	Gemmata	Gemmataceae	Gemmatales	Planctomycetia	Planctomycetota		Bacteria	TRH719
Singulisphaera	NA	Singulisphaera	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetota		Bacteria	TRH261
Tautonia	NA	Tautonia	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetota		Bacteria	TRH768
Pirellula	NA	Pirellula	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetota		Bacteria	TRH156
Planctomyces	NA	Planctomyces	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetota		Bacteria	TRH413
Pedosphaera	NA	Pedosphaera	Verrucomicrobia subdivision 3	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia		Bacteria	TRH689
Brachyspira	NA	Brachyspira	Brachyspiraceae	Brachyspirales	Spirochaetia	Spirochaetes		Bacteria	TRH634
Treponema	NA	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes		Bacteria	TRH218
Acidothermus	NA	Acidothermus	Acidothermaceae	Acidothermales	Actinomycetia	Actinobacteria		Bacteria	TRH654
Actinomyces	NA	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria		Bacteria	TRH71
Flaviflexus	NA	Flaviflexus	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria		Bacteria	TRH35
Pauljensenia	NA	Pauljensenia	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria		Bacteria	TRH308
Schaalia	NA	Schaalia	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria		Bacteria	TRH62
Bifidobacteriaceae	NA	Bifidobacteriaceae		Bifidobacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH10
Bifidobacterium	NA	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH16
Bombiscardovia	NA	Bombiscardovia	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH545
Gardnerella	NA	Gardnerella	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH212
Candidatus Planktophila	NA	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinomycetia	Actinobacteria		Bacteria	TRH660
Corynebacterium	NA	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH160
Dietzia	NA	Dietzia	Dietziaceae	Corynebacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH195
Gordonia	NA	Gordonia	Gordoniaceae	Corynebacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH69
Lawsonella	NA	Lawsonella	Lawsonellaceae	Corynebacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH216
Mycobacterium	NA	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH305
Mycobacteroides	NA	Mycobacteroides	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH249
Antrihabitans	NA	Antrihabitans	Nocardiaceae	Corynebacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH42
Nocardia	NA	Nocardia	Nocardiaceae	Corynebacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH277
Rhodococcus	NA	Rhodococcus	Nocardiaceae	Corynebacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH187
Tsukamurella	NA	Tsukamurella	Tsukamurellaceae	Corynebacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH471
Geodermatophilaceae	NA	Geodermatophilaceae		Geodermatophilales	Actinomycetia	Actinobacteria		Bacteria	TRH201
Blastococcus	NA	Blastococcus	Geodermatophilaceae	Geodermatophilales	Actinomycetia	Actinobacteria		Bacteria	TRH68
Geodermatophilus	NA	Geodermatophilus	Geodermatophilaceae	Geodermatophilales	Actinomycetia	Actinobacteria		Bacteria	TRH234
Modestobacter	NA	Modestobacter	Geodermatophilaceae	Geodermatophilales	Actinomycetia	Actinobacteria		Bacteria	TRH232
Miniimonas	NA	Miniimonas	Beutenbergiaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH500
Brevibacterium	NA	Brevibacterium	Brevibacteriaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH215
Brachybacterium	NA	Brachybacterium	Dermabacteraceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH247
Dermabacter	NA	Dermabacter	Dermabacteraceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH631
Dermacoccus	NA	Dermacoccus	Dermacoccaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH89
Janibacter	NA	Janibacter	Intrasporangiaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH223
Phycicoccus	NA	Phycicoccus	Intrasporangiaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH115
Jonesia	NA	Jonesia	Jonesiaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH24
Kytococcus	NA	Kytococcus	Kytococcaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH265
Microbacteriaceae	NA	Microbacteriaceae		Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH214
Chryseoglobus	NA	Chryseoglobus	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH494
Cryobacterium	NA	Cryobacterium	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH501
Curtobacterium	NA	Curtobacterium	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH292
Diaminobutyricimonas	NA	Diaminobutyricimonas	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH286
Frondihabitans	NA	Frondihabitans	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH281
Leifsonia	NA	Leifsonia	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH396
Microbacterium	NA	Microbacterium	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH239
Microcella	NA	Microcella	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH739
Plantibacter	NA	Plantibacter	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH375
Rathayibacter	NA	Rathayibacter	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH238
Salinibacterium	NA	Salinibacterium	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH487
Arthrobacter	NA	Arthrobacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH17
Kocuria	NA	Kocuria	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH209
Micrococcus	NA	Micrococcus	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH186
Paenarthrobacter	NA	Paenarthrobacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH477
Pseudarthrobacter	NA	Pseudarthrobacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH497
Rothia	NA	Rothia	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH60
Ornithinimicrobium	NA	Ornithinimicrobium	Ornithinimicrobiaceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH313
Sanguibacter	NA	Sanguibacter	Sanguibacteraceae	Micrococcales	Actinomycetia	Actinobacteria		Bacteria	TRH436
Actinoplanes	NA	Actinoplanes	Micromonosporaceae	Micromonosporales	Actinomycetia	Actinobacteria		Bacteria	TRH310
Micromonospora	NA	Micromonospora	Micromonosporaceae	Micromonosporales	Actinomycetia	Actinobacteria		Bacteria	TRH767
Nakamurella	NA	Nakamurella	Nakamurellaceae	Nakamurellales	Actinomycetia	Actinobacteria		Bacteria	TRH766
Nocardioidaceae	NA	Nocardioidaceae		Propionibacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH419
Friedmanniella	NA	Friedmanniella	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH267
Micropruina	NA	Micropruina	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH734
Nocardioides	NA	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH240
Cutibacterium	NA	Cutibacterium	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH190
Microlunatus	NA	Microlunatus	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH48
Propionibacterium	NA	Propionibacterium	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH258
Tessaracoccus	NA	Tessaracoccus	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria		Bacteria	TRH237
Actinosynnema	NA	Actinosynnema	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria		Bacteria	TRH465
Amycolatopsis	NA	Amycolatopsis	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria		Bacteria	TRH363
Lentzea	NA	Lentzea	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria		Bacteria	TRH667
Pseudonocardia	NA	Pseudonocardia	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria		Bacteria	TRH364
Saccharopolyspora	NA	Saccharopolyspora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria		Bacteria	TRH301
Umezawaea	NA	Umezawaea	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria		Bacteria	TRH464
Streptomyces	NA	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria		Bacteria	TRH194
Lancefieldella	NA	Lancefieldella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria		Bacteria	TRH327
Egicoccus	NA	Egicoccus	Egicoccaceae	Egicoccales	Nitriliruptoria	Actinobacteria		Bacteria	TRH511
Chroococcidiopsis	NA	Chroococcidiopsis	Chroococcidiopsidaceae	Chroococcidiopsidales		Cyanobacteria		Bacteria	TRH157
Calothrix	NA	Calothrix	Calotrichaceae	Nostocales		Cyanobacteria		Bacteria	TRH25
Fischerella	NA	Fischerella	Hapalosiphonaceae	Nostocales		Cyanobacteria		Bacteria	TRH150
Anabaena	NA	Anabaena	Nostocaceae	Nostocales		Cyanobacteria		Bacteria	TRH388
Chondrocystis	NA	Chondrocystis	Chroococcaceae	Chroococcales		Cyanobacteria		Bacteria	TRH460
Gloeocapsa	NA	Gloeocapsa	Chroococcaceae	Chroococcales		Cyanobacteria		Bacteria	TRH645
Gloeocapsopsis	NA	Gloeocapsopsis	Chroococcaceae	Chroococcales		Cyanobacteria		Bacteria	TRH646
Cyanobacterium	NA	Cyanobacterium	Geminocystaceae	Chroococcales		Cyanobacteria		Bacteria	TRH55
Oscillatoria	NA	Oscillatoria	Oscillatoriaceae	Oscillatoriales		Cyanobacteria		Bacteria	TRH329
Pseudanabaena	NA	Pseudanabaena	Pseudanabaenaceae	Pseudanabaenales		Cyanobacteria		Bacteria	TRH744
Deinococcus	NA	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus		Bacteria	TRH266
Meiothermus	NA	Meiothermus	Thermaceae	Thermales	Deinococci	Deinococcus-Thermus		Bacteria	TRH345
Thermus	NA	Thermus	Thermaceae	Thermales	Deinococci	Deinococcus-Thermus		Bacteria	TRH297
Truepera	NA	Truepera	Trueperaceae	Trueperales	Deinococci	Deinococcus-Thermus		Bacteria	TRH126
Alicyclobacillus	NA	Alicyclobacillus	Alicyclobacillaceae	Bacillales	Bacilli	Firmicutes		Bacteria	TRH748
Effusibacillus	NA	Effusibacillus	Alicyclobacillaceae	Bacillales	Bacilli	Firmicutes		Bacteria	TRH34
Aeribacillus	NA	Aeribacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes		Bacteria	TRH430
Alkalihalobacillus	NA	Alkalihalobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes		Bacteria	TRH740
Anoxybacillus	NA	Anoxybacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes		Bacteria	TRH44
Bacillus	NA	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes		Bacteria	TRH73
Lysinibacillus	NA	Lysinibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes		Bacteria	TRH213
Priestia	NA	Priestia	Bacillaceae	Bacillales	Bacilli	Firmicutes		Bacteria	TRH721
Virgibacillus	NA	Virgibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes		Bacteria	TRH729
Paenibacillus	NA	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes		Bacteria	TRH338
Sporosarcina	NA	Sporosarcina	Planococcaceae	Bacillales	Bacilli	Firmicutes		Bacteria	TRH287
Sporolactobacillus	NA	Sporolactobacillus	Sporolactobacillaceae	Bacillales	Bacilli	Firmicutes		Bacteria	TRH701
Macrococcus	NA	Macrococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes		Bacteria	TRH737
Staphylococcus	NA	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes		Bacteria	TRH38
Gemella	NA	Gemella		Bacillales	Bacilli	Firmicutes		Bacteria	TRH63
Exiguobacterium	NA	Exiguobacterium		Bacillales	Bacilli	Firmicutes		Bacteria	TRH221
Abiotrophia	NA	Abiotrophia	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH711
Aerococcus	NA	Aerococcus	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH291
Carnobacteriaceae	NA	Carnobacteriaceae		Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH637
Alkalibacterium	NA	Alkalibacterium	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH423
Carnobacterium	NA	Carnobacterium	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH451
Dolosigranulum	NA	Dolosigranulum	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH283
Granulicatella	NA	Granulicatella	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH272
Jeotgalibaca	NA	Jeotgalibaca	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH43
Marinilactibacillus	NA	Marinilactibacillus	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH653
Enterococcus	NA	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH361
Vagococcus	NA	Vagococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH83
Acetilactobacillus	NA	Acetilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH105
Apilactobacillus	NA	Apilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH103
Bombilactobacillus	NA	Bombilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH4
Companilactobacillus	NA	Companilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH706
Fructilactobacillus	NA	Fructilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH713
Fructobacillus	NA	Fructobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH458
Lacticaseibacillus	NA	Lacticaseibacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH82
Lactiplantibacillus	NA	Lactiplantibacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH91
Lactobacillus	NA	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH49
Latilactobacillus	NA	Latilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH479
Lentilactobacillus	NA	Lentilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH712
Leuconostoc	NA	Leuconostoc	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH128
Levilactobacillus	NA	Levilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH84
Ligilactobacillus	NA	Ligilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH12
Limosilactobacillus	NA	Limosilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH182
Loigolactobacillus	NA	Loigolactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH80
Pediococcus	NA	Pediococcus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH309
Secundilactobacillus	NA	Secundilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH392
Weissella	NA	Weissella	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH504
Lactococcus	NA	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH72
Streptococcus	NA	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes		Bacteria	TRH57
Clostridium	NA	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes		Bacteria	TRH27
Hathewaya	NA	Hathewaya	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes		Bacteria	TRH51
Lachnospiraceae	NA	Lachnospiraceae		Eubacteriales	Clostridia	Firmicutes		Bacteria	TRH331
Anaerobutyricum	NA	Anaerobutyricum	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes		Bacteria	TRH726
Blautia	NA	Blautia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes		Bacteria	TRH644
Lachnoanaerobaculum	NA	Lachnoanaerobaculum	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes		Bacteria	TRH306
Mediterraneibacter	NA	Mediterraneibacter	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes		Bacteria	TRH56
Oribacterium	NA	Oribacterium	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes		Bacteria	TRH273
Tyzzerella	NA	Tyzzerella	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes		Bacteria	TRH709
Acetivibrio	NA	Acetivibrio	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes		Bacteria	TRH675
Ethanoligenens	NA	Ethanoligenens	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes		Bacteria	TRH735
Faecalibacterium	NA	Faecalibacterium	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes		Bacteria	TRH343
Peptostreptococcaceae	NA	Peptostreptococcaceae		Eubacteriales	Clostridia	Firmicutes		Bacteria	TRH282
