1	2	pvalue	padj
Apidae	Halictidae	1e-04	0.001
Apidae	Megachilidae	0.056	0.14
Apidae	Andrenidae	0.4702	0.783666666666667
Apidae	Colletidae	0.0397	0.132333333333333
Halictidae	Megachilidae	0.002	0.01
Halictidae	Andrenidae	0.7182	1
Halictidae	Colletidae	1	1
Megachilidae	Andrenidae	0.2619	0.5238
Megachilidae	Colletidae	0.8	1
Andrenidae	Colletidae	1	1
