Variable	DF	R2	F	pvalue	adjP
Sex	2	0.273411281091455	5.07997467987009	0.0013	0.0091
Year Collected	1	0.0544385740083627	1.61203707166417	0.1746	0.30555
Library Layout	1	0.0222186396619754	0.636258713625139	0.769	0.769
Platform	1	0.0222186396619754	0.636258713625139	0.7599	0.769
Host Family	4	0.211407878394263	1.67551666287727	0.0763	0.26705
Host Tribe	6	0.248805047326339	1.26964735056196	0.1718	0.30555
Continent	2	0.090470820597043	1.34284430419464	0.2386	0.33404
