Variable	DF	R2	F	pvalue	adjP	Significance	Dispersion
Sociality	2	0.0278992118974591	2.8843416547039	8e-04	0.00102857142857143	*	NonSig Dispersed
Sociality 	3	0.0435771398037981	3.03750859007131	1e-04	0.00018	*	Sig Dispersed
Sex	2	0.0485617484657894	5.12955592540243	1e-04	0.00018	*	Sig Dispersed
Year Collected	1	0.0179249145932617	3.68692048260166	0.0014	0.001575	*	Sig Dispersed
Library Layout	1	0.0105856946488758	2.16118799526965	0.0178	0.0178	*	Sig Dispersed
Platform	5	0.125640133570428	5.69027637293749	1e-04	0.00018	*	Sig Dispersed
Host Family	3	0.0608265199173702	4.3177340649226	1e-04	0.00018	*	NonSig Dispersed
Host Tribe	7	0.118952847719143	3.78036490727374	1e-04	0.00018	*	Sig Dispersed
Continent	5	0.056262470856976	2.36081937735317	2e-04	3e-04	*	NonSig Dispersed
